,BirthDate,MaritalStatus,YearlyIncome,Gender,TotalChildren,NumberChildrenAtHome,Education,Occupation,HomeOwner,CommuteDistance,NumberOfPurchases,ProfitGenerated,Assignments
106,1968,False,3,1,0,0,3,3,False,0,1,22920.9628,0
107,1968,True,3,0,4,4,3,3,True,0,1,9734.5175,0
108,1967,True,3,0,1,0,3,3,True,1,2,14800.7743,0
109,1967,False,4,0,0,0,4,3,False,0,5,21224.6107,0
110,1963,False,2,1,0,0,2,1,True,3,2,23243.9434,3
111,1942,True,4,1,2,2,4,3,True,3,2,31545.8212,0
112,1943,True,3,1,2,4,4,3,True,1,3,13804.2681,0
113,1943,True,4,0,2,2,4,3,True,3,3,24169.0166,0
114,1943,True,4,0,1,1,3,3,True,0,4,17005.2185,0
115,1943,True,4,1,2,2,4,3,True,0,6,17512.698,0
116,1944,True,2,0,4,0,4,3,True,4,2,15167.0462,0
117,1944,True,2,0,4,0,4,3,False,1,2,7006.0057,0
118,1944,False,2,1,4,0,4,3,True,4,2,24572.2203,0
119,1945,False,2,0,5,0,3,3,True,4,3,20275.224,0
120,1945,True,2,0,4,0,3,3,True,2,2,11392.3037,0
121,1946,True,2,0,5,0,3,3,True,4,3,16167.6004,0
122,1946,True,2,1,5,0,3,3,True,4,3,21036.64,0
123,1946,True,2,0,3,1,3,3,False,1,1,7756.1251,0
124,1946,False,2,0,4,1,3,3,True,4,1,19840.9466,0
125,1946,True,2,0,4,1,3,3,True,4,1,15935.5285,0
126,1947,True,2,1,4,1,3,3,True,1,1,11378.9718,0
127,1947,True,3,0,5,0,3,3,False,1,2,9063.2742,0
128,1948,True,1,1,2,1,1,2,True,4,2,9809.4997,2
129,1948,True,1,0,2,1,1,2,True,2,3,4904.9395,2
130,1948,True,2,1,2,1,2,2,True,4,1,15702.8387,3
131,1948,True,2,1,4,1,2,2,True,4,2,13806.8706,3
132,1949,True,1,0,2,1,1,2,True,2,3,4928.2773,2
133,1949,True,1,0,2,1,1,2,True,2,2,4941.17,2
134,1949,False,2,0,2,1,2,2,True,4,2,15108.8645,3
135,1950,True,1,0,2,1,0,1,True,4,2,6189.8805,1
136,1950,False,2,0,2,1,2,2,True,4,2,15175.6618,3
137,1950,False,2,0,2,1,2,2,True,4,2,15160.4678,3
138,1950,True,2,1,2,1,1,2,True,4,2,13735.718,3
139,1950,True,2,1,4,2,2,2,True,1,1,7498.2744,3
140,1951,False,2,0,2,1,1,2,True,2,2,8568.3118,3
141,1951,False,2,0,2,1,1,2,True,4,2,13150.4341,3
142,1951,True,2,0,2,1,2,2,True,4,1,12092.3706,3
143,1952,True,2,1,2,1,1,2,True,4,2,13817.5183,3
144,1952,True,2,0,3,1,1,2,False,2,2,5361.3985,3
145,1952,False,2,0,4,2,2,2,True,4,2,13214.0971,3
146,1952,True,2,1,4,2,2,2,True,4,2,13712.7643,3
147,1952,False,2,1,5,2,2,2,True,4,2,15957.3234,3
148,1958,False,4,1,2,4,3,3,False,0,4,21045.7806,0
149,1958,False,4,0,2,2,3,3,False,0,4,16219.2068,0
150,1958,True,4,0,2,2,2,2,False,3,2,15577.3547,2
151,1958,True,4,0,2,2,2,2,True,3,4,18683.9815,2
152,1957,False,3,0,2,2,2,2,True,3,4,16742.2472,2
153,1957,True,4,1,2,4,2,2,True,3,3,24294.4839,2
154,1957,False,4,0,2,2,3,3,False,0,3,16257.5037,0
155,1956,True,4,1,3,4,1,2,False,3,5,16597.4668,2
156,1956,True,4,0,3,3,1,2,False,3,5,12723.6043,2
157,1956,False,4,0,3,3,2,2,False,0,3,10063.4438,2
158,1955,True,4,1,3,3,2,2,True,4,6,25309.6592,2
159,1955,True,4,0,3,3,2,2,True,0,3,9650.1985,2
160,1955,True,4,0,3,3,1,2,True,3,2,15337.8939,2
161,1932,False,1,1,4,0,1,2,False,3,2,8832.6379,1
162,1933,True,2,1,2,0,4,3,True,1,2,12378.4416,0
163,1933,True,2,0,4,0,4,3,True,3,2,13571.3723,0
164,1933,False,4,0,1,1,4,3,True,2,4,23917.3014,0
165,1933,True,4,1,1,1,4,3,True,2,4,24999.7744,0
166,1965,True,3,0,4,1,2,2,True,2,4,8422.4014,2
167,1965,True,4,0,2,2,3,3,True,2,3,20232.5898,0
168,1964,True,3,0,5,5,2,2,True,2,3,7886.5755,2
169,1964,False,3,1,5,5,2,2,False,0,3,8189.7556,2
170,1964,True,3,0,5,5,2,2,True,0,3,6030.7569,2
171,1964,False,4,1,4,2,2,2,True,2,4,19139.0755,2
172,1964,True,4,0,2,2,4,3,True,1,2,14773.7164,0
173,1964,True,4,1,2,2,4,3,True,0,3,17561.1293,0
174,1964,False,4,0,2,0,3,3,False,1,4,19588.488,0
175,1934,True,1,1,2,0,4,3,True,3,2,14425.2691,0
176,1934,True,3,0,4,0,4,3,True,0,2,9376.074,0
177,1963,True,3,0,4,3,2,2,True,2,2,8430.2428,2
178,1963,False,3,1,0,0,2,2,False,4,1,30393.0989,2
179,1963,False,4,0,4,2,3,3,True,3,5,30651.1355,0
180,1962,True,3,1,5,4,2,2,True,1,4,8680.3302,2
181,1962,True,4,0,1,1,3,3,True,1,2,18752.6299,0
182,1962,True,4,1,1,2,2,2,False,2,4,16000.3927,2
183,1962,True,4,1,0,0,4,3,True,2,4,34413.5906,0
184,1961,True,2,1,5,4,2,2,False,3,3,9566.6026,3
185,1961,True,4,0,1,2,3,3,True,2,3,22087.0809,0
186,1961,True,4,0,1,1,3,3,True,0,1,17011.4186,0
187,1961,True,4,0,1,1,3,3,True,2,3,22188.3156,0
188,1961,True,4,0,1,1,3,3,True,2,3,22134.8518,0
189,1961,False,4,1,1,1,2,2,False,0,3,15359.82,2
190,1955,True,2,1,2,0,1,2,False,1,2,6987.603,3
191,1954,False,3,0,2,0,0,1,True,3,2,13253.9396,1
192,1935,False,1,0,2,0,4,3,True,3,2,13924.6992,0
193,1935,False,2,1,4,0,4,3,True,3,2,22129.7858,0
194,1936,True,2,1,4,0,4,3,True,1,2,10763.0078,0
195,1960,True,3,1,5,4,2,2,False,1,3,7261.8816,2
196,1960,True,3,1,5,4,2,2,True,3,4,14140.4803,2
197,1960,False,3,1,4,3,1,2,False,1,3,8490.1044,2
198,1960,False,3,0,4,3,1,2,False,1,3,6601.5943,2
199,1960,True,4,1,3,3,2,2,False,2,4,13692.2781,2
200,1960,True,4,1,3,3,2,2,False,2,4,13688.6035,2
201,1954,True,3,1,2,0,0,1,True,3,2,13822.1677,2
202,1954,False,2,0,2,0,1,2,True,3,2,13057.8327,3
203,1953,False,2,0,3,0,4,3,True,3,3,18253.6114,0
204,1953,False,2,0,3,0,4,3,False,1,2,9325.5151,0
205,1953,False,2,0,3,0,4,3,True,3,2,18245.6858,0
206,1953,False,2,1,3,0,4,3,True,3,2,23741.2365,0
207,1953,False,2,0,3,0,4,3,False,1,2,9259.5842,0
208,1953,True,2,1,3,0,4,3,True,3,2,19027.8668,0
209,1952,False,1,0,3,0,2,2,False,3,2,8328.8559,2
210,1952,False,1,0,3,0,2,2,False,1,2,5041.0636,1
211,1937,True,2,0,4,0,4,3,False,1,2,6935.0571,0
212,1937,True,3,0,4,0,4,3,True,3,2,16723.3281,0
213,1938,True,3,1,5,0,3,3,True,3,2,23277.1809,0
214,1938,True,3,0,5,0,3,3,True,3,3,18019.5577,0
215,1938,False,4,1,2,4,4,3,True,3,3,39421.374,0
216,1939,True,3,1,5,0,3,3,True,1,2,14207.6784,0
217,1939,True,4,1,2,2,3,3,True,0,4,20234.5525,0
218,1940,True,3,1,5,0,3,3,True,3,2,23361.6086,0
219,1940,True,3,1,5,0,3,3,True,3,2,23238.3578,0
220,1940,False,3,1,5,0,3,3,True,3,3,29184.4588,0
221,1968,True,3,0,4,4,2,1,True,1,2,6205.5967,2
222,1955,True,0,1,2,0,2,Manual,True,0,1,2061.7098,1
223,1954,True,0,0,2,0,2,Manual,True,2,1,1888.2016,1
224,1940,True,0,1,2,0,2,Manual,True,0,1,1964.2548,1
225,1980,False,0,1,0,0,2,Manual,False,2,1,3657.3617,1
226,1978,False,0,1,0,0,2,Manual,True,2,1,4470.6168,1
227,1977,True,0,0,0,0,1,Manual,True,0,2,1788.2745,1
228,1977,True,0,1,0,0,1,Manual,False,0,2,1962.9639,1
229,1977,False,0,1,0,0,1,Manual,False,0,2,2454.1864,1
230,1970,False,0,0,1,1,1,Manual,False,2,1,1806.5538,1
231,1969,False,0,0,0,0,2,Manual,False,0,1,2228.9371,1
232,1952,False,0,0,3,0,2,Manual,False,0,2,1504.1443,1
233,1952,True,0,0,2,0,2,Manual,True,2,1,1980.5252,1
234,1952,True,0,1,2,0,2,Manual,True,0,1,1946.3532,1
235,1953,True,0,1,2,1,1,Manual,False,0,2,1327.734,1
236,1954,True,3,1,3,2,2,2,False,2,1,9829.418,2
237,1954,True,3,0,4,2,2,2,False,2,1,7039.4823,2
238,1945,True,2,0,3,1,0,1,True,2,5,5320.0087,3
239,1945,False,3,1,5,0,2,2,False,4,2,18019.8641,2
240,1945,True,4,1,3,5,4,3,True,0,5,16358.0499,0
241,1946,True,3,1,2,2,3,3,True,4,4,28955.0304,0
242,1946,True,4,0,3,3,3,3,True,3,4,26235.8964,0
243,1946,True,4,1,4,4,3,3,True,3,3,31869.1743,0
244,1953,True,3,0,4,2,2,2,True,4,2,12987.0751,2
245,1953,True,4,1,3,3,3,3,True,4,4,37875.3437,0
246,1953,True,4,0,2,2,2,2,True,4,2,20783.9368,2
247,1953,False,4,0,2,4,3,3,True,4,2,38847.8156,0
248,1952,True,3,1,4,1,2,2,True,4,2,16871.875,2
249,1952,True,4,1,4,4,2,2,True,4,2,23587.8009,2
250,1951,True,3,0,4,2,1,2,True,4,2,11401.2942,2
251,1951,True,3,1,5,2,1,2,False,2,2,7474.6575,2
252,1951,True,4,1,5,5,2,2,True,0,4,11036.3628,2
253,1950,False,3,0,3,5,2,3,True,4,4,20948.4722,0
254,1950,True,4,0,3,3,2,3,False,4,4,19399.3494,0
255,1949,True,3,1,4,1,1,3,True,4,3,17701.5712,0
256,1949,True,4,0,4,4,1,3,True,0,4,9568.7354,0
257,1948,True,3,0,4,1,1,3,False,3,3,10243.4145,0
258,1947,True,3,1,5,0,0,1,False,3,2,9370.6549,2
259,1947,True,3,0,5,0,0,1,False,3,2,7228.5224,2
260,1947,True,3,1,5,0,0,1,True,4,2,12413.1527,2
261,1976,False,2,0,0,0,3,2,False,2,4,15454.1438,3
262,1976,True,2,0,0,0,3,2,True,4,3,22899.5825,3
263,1974,False,2,0,0,0,3,2,False,4,3,23768.4161,3
264,1974,False,2,0,0,0,3,2,False,4,3,23776.6209,3
265,1974,True,2,0,0,0,3,2,True,4,4,22846.8533,3
266,1975,False,3,1,0,0,3,2,True,4,3,45654.1746,2
267,1975,True,3,1,0,0,3,2,True,4,3,36505.6995,2
268,1975,False,4,1,4,5,1,3,True,0,5,15411.7937,0
269,1974,False,2,1,0,0,3,2,False,4,4,30979.2337,3
270,1973,False,3,0,0,0,3,2,False,4,3,29193.646,2
271,1973,False,3,1,0,0,3,2,False,4,3,38036.5283,2
272,1974,False,3,0,0,0,3,2,False,4,3,29300.0538,2
273,1974,True,3,1,0,0,1,3,True,4,2,30662.8233,0
274,1974,True,4,1,5,5,0,2,True,4,5,18167.934,2
275,1973,True,3,0,0,0,3,2,True,4,3,28084.3518,2
276,1973,True,3,0,0,1,1,3,True,4,2,21458.5963,0
277,1972,False,3,0,0,0,3,2,False,4,3,29261.7595,2
278,1972,False,3,1,0,0,3,2,False,4,3,38067.8234,2
279,1972,False,3,1,0,0,3,2,False,4,3,37997.2908,2
280,1972,True,4,0,0,2,1,3,True,4,4,29974.4264,0
281,1972,True,4,0,0,2,1,3,False,4,4,24892.3384,0
282,1971,True,3,1,0,0,3,2,True,4,4,36576.3752,2
283,1971,True,3,1,0,0,3,2,False,4,4,30418.1638,2
284,1971,True,4,1,0,0,0,3,True,4,4,40806.2059,0
285,1969,True,4,1,1,1,4,3,True,0,4,19153.5778,0
286,1973,False,0,1,0,0,0,Manual,False,1,2,2569.695,1
287,1973,False,0,1,0,0,0,Manual,False,0,2,2346.0939,1
288,1963,False,2,1,3,2,3,2,True,3,2,20745.2373,3
289,1980,False,0,1,0,0,0,Manual,True,1,2,3070.4971,1
290,1973,False,1,1,0,0,1,Manual,False,1,1,6815.3571,1
291,1971,False,0,0,0,0,0,Manual,True,1,2,2344.1025,1
292,1971,False,0,0,0,0,0,Manual,False,1,2,2022.8112,1
293,1971,False,0,1,0,0,0,Manual,True,1,3,3165.4257,1
294,1971,False,0,0,0,0,0,Manual,False,1,2,2017.0639,1
295,1971,False,0,1,0,0,0,Manual,False,0,2,2415.9574,1
296,1971,True,0,1,0,0,0,Manual,False,0,2,1876.7909,1
297,1971,False,1,1,0,0,1,Manual,False,2,1,8052.9424,1
298,1970,False,1,1,2,2,2,0,True,0,2,4733.572,1
299,1970,False,1,0,2,2,2,0,True,1,3,3984.1733,1
300,1974,False,1,1,3,3,2,0,True,1,2,4905.2554,1
301,1974,False,1,1,3,3,2,0,True,1,2,4852.002,1
302,1975,False,1,0,3,3,2,0,True,1,2,3719.3013,1
303,1931,True,1,0,1,0,3,1,True,0,1,5650.4762,1
304,1953,True,1,0,1,0,3,1,True,3,1,10171.9649,1
305,1953,True,1,1,1,0,3,1,True,2,1,9494.3809,1
306,1954,True,1,0,1,0,1,0,True,2,1,3988.3332,1
307,1954,True,1,0,1,0,2,0,True,0,1,3446.7588,1
308,1955,True,1,1,1,0,2,0,True,0,1,4492.6818,1
309,1956,True,1,0,1,0,2,0,True,1,1,3816.0895,1
310,1956,True,1,0,1,0,2,0,True,0,1,3425.0315,1
311,1957,True,1,0,1,0,2,0,True,1,1,3824.4335,1
312,1957,True,1,1,1,0,2,0,True,1,1,4978.8069,1
313,1957,True,1,0,1,0,2,0,True,1,1,3817.3241,1
314,1967,False,0,1,3,3,1,Manual,True,0,1,1786.3672,1
315,1967,True,0,0,1,1,2,Manual,True,2,1,2013.9232,1
316,1967,False,1,0,1,1,3,0,False,1,1,4516.4745,1
317,1966,True,1,1,1,1,3,0,True,2,1,6732.9833,1
318,1966,True,1,0,1,1,3,1,True,0,2,5164.3338,1
319,1966,True,1,1,1,1,3,1,True,0,2,6585.0293,1
320,1966,True,1,1,1,1,3,1,True,0,2,6618.2643,1
321,1965,False,0,0,2,2,1,Manual,True,0,1,1491.4513,1
322,1965,False,0,1,2,2,1,Manual,True,0,2,1981.305,1
323,1965,True,1,1,1,1,3,1,True,0,2,6655.197,1
324,1964,False,0,0,3,2,0,Manual,True,0,3,1327.8106,1
325,1964,False,1,1,2,2,2,0,True,0,2,4727.3171,1
326,1964,True,1,0,2,2,2,0,False,0,2,2449.7226,1
327,1963,False,1,0,2,2,2,0,True,0,2,3573.3881,1
328,1978,False,0,1,0,0,1,Manual,False,2,1,3195.4648,1
329,1977,False,0,1,0,0,1,Manual,True,2,1,3840.5055,1
330,1979,False,0,1,4,4,1,Manual,True,0,3,1760.9112,1
331,1979,False,0,1,5,5,1,Manual,True,0,3,1603.5622,1
332,1978,False,1,0,3,3,2,0,True,0,3,3356.5533,1
333,1978,False,1,0,3,3,2,0,True,0,3,3418.7608,1
334,1977,False,0,0,0,0,1,Manual,False,1,1,2132.5382,1
335,1975,False,0,0,0,0,0,Manual,False,0,2,1739.6694,1
336,1975,False,0,1,0,0,1,Manual,True,2,1,3815.3379,1
337,1976,False,0,1,0,0,1,Manual,False,3,1,4467.5506,1
338,1976,False,1,1,0,0,2,0,False,0,1,5925.6757,1
339,1974,True,0,1,0,0,0,Manual,False,2,1,2457.8962,1
340,1971,False,1,1,4,4,1,1,True,4,3,9361.9704,1
341,1970,True,1,0,1,1,3,1,True,2,1,6736.1207,1
342,1970,True,1,0,1,1,3,1,True,2,1,6630.5053,1
343,1967,True,2,1,2,2,3,1,True,2,1,11044.8056,3
344,1966,False,2,0,3,3,3,1,True,0,1,7656.1142,3
345,1969,True,2,0,5,5,4,2,True,0,2,5386.7133,3
346,1969,True,2,0,5,5,4,2,True,2,2,6862.0747,3
347,1969,True,2,0,5,5,4,2,False,0,2,4436.8866,3
348,1965,False,1,1,0,0,3,2,False,2,1,14299.3095,1
349,1965,False,1,1,0,0,3,2,False,2,1,14379.3544,1
350,1965,True,3,1,3,3,3,1,True,2,2,12723.3155,2
351,1964,True,1,1,4,4,3,1,True,4,4,10683.4358,1
352,1964,True,1,1,5,5,3,1,True,3,3,8926.26,1
353,1964,False,1,0,5,5,3,1,True,3,3,8522.9363,1
354,1963,False,2,1,4,2,3,1,False,0,2,7807.3136,3
355,1963,True,2,1,4,2,3,2,True,2,2,11143.7389,3
356,1968,False,2,0,0,0,3,2,False,0,1,11839.3519,3
357,1963,True,2,1,4,2,3,2,True,2,2,11143.0167,3
358,1963,False,2,0,4,2,3,2,True,0,3,8246.5252,3
359,1963,False,2,0,4,2,3,2,True,2,3,10815.7594,3
360,1962,True,1,0,3,2,1,1,True,2,2,3999.0526,1
361,1962,True,2,0,1,0,2,1,True,2,1,8244.0916,3
362,1962,True,2,0,1,0,2,1,True,2,1,8236.0869,3
363,1961,False,1,1,4,2,1,1,True,2,2,6124.4822,1
364,1961,True,2,0,1,0,2,1,True,0,1,6292.4543,3
365,1960,True,1,1,4,2,1,1,True,2,2,4845.2378,1
366,1960,True,1,0,4,2,1,1,True,2,2,3775.5671,1
367,1960,True,1,0,4,2,1,1,True,0,2,2863.4046,1
368,1967,False,2,1,0,0,2,1,False,2,1,13969.7722,3
369,1967,False,2,1,0,0,2,1,False,0,1,10797.1558,3
370,1967,False,2,1,0,0,2,1,False,2,1,13967.3238,3
371,1960,True,2,1,1,0,2,1,True,2,1,10615.4177,3
372,1959,True,2,0,1,0,2,1,True,2,1,8226.6898,3
373,1959,True,2,1,1,0,2,1,False,0,1,6822.7257,3
374,1959,True,2,0,5,5,4,2,False,4,3,8905.7617,3
375,1958,True,2,0,1,0,3,2,True,2,1,11823.1101,3
376,1969,True,3,1,4,4,4,3,False,0,1,9176.4865,0
377,1970,True,3,0,4,4,4,3,True,0,1,8463.5731,0
378,1970,True,3,0,4,4,4,3,True,0,1,8428.6333,0
379,1968,True,2,1,5,5,3,2,True,4,3,16006.3912,3
380,1968,True,2,1,5,5,3,2,True,4,3,15973.4849,3
381,1967,True,2,0,5,5,3,2,True,4,4,12290.8494,3
382,1967,False,2,1,5,5,3,2,True,4,4,19931.6599,3
383,1967,True,2,1,5,5,3,2,True,4,4,15938.5855,3
384,1967,True,3,1,5,5,4,3,True,0,2,10288.473,0
385,1967,False,3,0,5,5,4,3,True,0,3,9855.2153,0
386,1966,True,3,1,5,5,3,2,True,0,3,9881.2102,2
387,1969,True,1,1,1,1,3,1,True,2,1,8630.7197,1
388,1967,False,1,1,0,0,3,2,False,2,1,14297.8586,1
389,1967,False,1,0,0,0,3,2,True,2,1,13331.5098,1
390,1967,True,1,0,0,0,3,2,False,0,1,6842.586,1
391,1969,True,2,0,5,5,4,2,True,0,2,5333.3698,3
392,1965,False,1,0,0,0,3,2,False,2,1,11058.6193,1
393,1965,False,3,1,3,3,3,1,True,2,2,15914.2776,1
394,1965,True,3,1,3,3,3,1,True,0,2,9856.4862,0
395,1965,False,3,0,3,3,3,1,True,2,2,12263.6584,2
396,1965,False,3,1,3,3,3,1,False,0,2,10266.7759,1
397,1965,True,2,1,0,0,4,2,True,2,1,16744.2063,3
398,1964,True,1,1,0,0,3,2,False,0,1,8839.4726,1
399,1964,False,1,1,4,4,3,1,True,4,3,13309.6906,1
400,1964,False,1,0,4,4,3,1,False,4,3,8493.7891,1
401,1964,False,1,0,4,4,3,1,True,4,3,10291.4001,1
402,1964,False,1,0,4,2,3,1,False,0,3,4260.7837,1
403,1964,True,1,1,4,2,3,1,True,2,2,6902.5197,1
404,1964,False,1,0,4,2,3,1,True,2,2,6664.1353,1
405,1963,False,2,0,4,2,3,2,True,2,2,10658.9481,3
406,1968,False,2,0,0,0,3,2,True,2,1,18552.7396,3
407,1963,True,2,1,4,2,3,2,True,2,4,11197.8006,3
408,1962,True,1,1,3,2,1,1,True,2,2,5216.3457,1
409,1962,True,2,0,1,0,2,1,True,2,1,8192.0065,3
410,1962,True,2,0,1,0,2,1,True,0,1,6285.3066,3
411,1961,False,1,0,4,2,1,1,True,2,2,4649.6528,1
412,1961,True,2,0,1,0,2,1,True,2,1,8111.208,3
413,1961,True,2,1,1,0,2,1,False,0,1,6778.492,3
414,1960,True,1,1,4,2,1,1,True,2,2,4799.2551,1
415,1967,True,2,1,0,0,4,2,False,0,1,10662.2003,3
416,1967,False,2,1,0,0,3,2,False,2,1,20137.0679,3
