BirthDate,MaritalStatus,YearlyIncome,Gender,TotalChildren,NumberChildrenAtHome,Education,Occupation,HomeOwner,CommuteDistance,NumberOfPurchases,ProfitGenerated,Assignments
1935,False,2,1,4,0,4,4,True,3,2,22129.7858,0
1936,True,2,1,4,0,4,4,True,1,2,10763.0078,0
1960,True,3,1,5,4,2,3,False,1,3,7261.8816,2
1960,True,3,1,5,4,2,3,True,3,4,14140.4803,2
1960,False,3,1,4,3,1,3,False,1,3,8490.1044,2
1960,False,3,0,4,3,1,3,False,1,3,6601.5943,2
1960,True,4,1,3,3,2,3,False,2,4,13692.2781,2
1960,True,4,1,3,3,2,3,False,2,4,13688.6035,2
1954,True,3,1,2,0,0,2,True,3,2,13822.1677,2
1954,False,2,0,2,0,1,3,True,3,2,13057.8327,3
1953,False,2,0,3,0,4,4,True,3,3,18253.6114,0
1953,False,2,0,3,0,4,4,False,1,2,9325.5151,0
1953,False,2,0,3,0,4,4,True,3,2,18245.6858,0
1953,False,2,1,3,0,4,4,True,3,2,23741.2365,0
1953,False,2,0,3,0,4,4,False,1,2,9259.5842,0
1953,True,2,1,3,0,4,4,True,3,2,19027.8668,0
1952,False,1,0,3,0,2,3,False,3,2,8328.8559,2
1952,False,1,0,3,0,2,3,False,1,2,5041.0636,1
1937,True,2,0,4,0,4,4,False,1,2,6935.0571,0
1937,True,3,0,4,0,4,4,True,3,2,16723.3281,0
1938,True,3,1,5,0,3,4,True,3,2,23277.1809,0
1938,True,3,0,5,0,3,4,True,3,3,18019.5577,0
1938,False,4,1,2,4,4,4,True,3,3,39421.374,0
1939,True,3,1,5,0,3,4,True,1,2,14207.6784,0
1939,True,4,1,2,2,3,4,True,0,4,20234.5525,0
1940,True,3,1,5,0,3,4,True,3,2,23361.6086,0
1940,True,3,1,5,0,3,4,True,3,2,23238.3578,0
1940,False,3,1,5,0,3,4,True,3,3,29184.4588,0
1968,True,3,0,4,4,2,2,True,1,2,6205.5967,2
1955,True,0,1,2,0,2,0,True,0,1,2061.7098,1
1954,True,0,0,2,0,2,0,True,2,1,1888.2016,1
1940,True,0,1,2,0,2,0,True,0,1,1964.2548,1
1980,False,0,1,0,0,2,0,False,2,1,3657.3617,1
1978,False,0,1,0,0,2,0,True,2,1,4470.6168,1
1977,True,0,0,0,0,1,0,True,0,2,1788.2745,1
1977,True,0,1,0,0,1,0,False,0,2,1962.9639,1
1977,False,0,1,0,0,1,0,False,0,2,2454.1864,1
1970,False,0,0,1,1,1,0,False,2,1,1806.5538,1
1969,False,0,0,0,0,2,0,False,0,1,2228.9371,1
1952,False,0,0,3,0,2,0,False,0,2,1504.1443,1
1952,True,0,0,2,0,2,0,True,2,1,1980.5252,1
1952,True,0,1,2,0,2,0,True,0,1,1946.3532,1
1953,True,0,1,2,1,1,0,False,0,2,1327.734,1
1954,True,3,1,3,2,2,3,False,2,1,9829.418,2
1954,True,3,0,4,2,2,3,False,2,1,7039.4823,2
1945,True,2,0,3,1,0,2,True,2,5,5320.0087,3
1945,False,3,1,5,0,2,3,False,4,2,18019.8641,2
1945,True,4,1,3,5,4,4,True,0,5,16358.0499,0
1946,True,3,1,2,2,3,4,True,4,4,28955.0304,0
1946,True,4,0,3,3,3,4,True,3,4,26235.8964,0
1946,True,4,1,4,4,3,4,True,3,3,31869.1743,0
1953,True,3,0,4,2,2,3,True,4,2,12987.0751,2
1953,True,4,1,3,3,3,4,True,4,4,37875.3437,0
1953,True,4,0,2,2,2,3,True,4,2,20783.9368,2
1953,False,4,0,2,4,3,4,True,4,2,38847.8156,0
1952,True,3,1,4,1,2,3,True,4,2,16871.875,2
1952,True,4,1,4,4,2,3,True,4,2,23587.8009,2
1951,True,3,0,4,2,1,3,True,4,2,11401.2942,2
1951,True,3,1,5,2,1,3,False,2,2,7474.6575,2
1951,True,4,1,5,5,2,3,True,0,4,11036.3628,2
1950,False,3,0,3,5,2,4,True,4,4,20948.4722,0
1950,True,4,0,3,3,2,4,False,4,4,19399.3494,0
1949,True,3,1,4,1,1,4,True,4,3,17701.5712,0
1949,True,4,0,4,4,1,4,True,0,4,9568.7354,0
1948,True,3,0,4,1,1,4,False,3,3,10243.4145,0
1947,True,3,1,5,0,0,2,False,3,2,9370.6549,2
1947,True,3,0,5,0,0,2,False,3,2,7228.5224,2
1947,True,3,1,5,0,0,2,True,4,2,12413.1527,2
1976,False,2,0,0,0,3,3,False,2,4,15454.1438,3
1976,True,2,0,0,0,3,3,True,4,3,22899.5825,3
1974,False,2,0,0,0,3,3,False,4,3,23768.4161,3
1974,False,2,0,0,0,3,3,False,4,3,23776.6209,3
1974,True,2,0,0,0,3,3,True,4,4,22846.8533,3
1975,False,3,1,0,0,3,3,True,4,3,45654.1746,2
1975,True,3,1,0,0,3,3,True,4,3,36505.6995,2
1975,False,4,1,4,5,1,4,True,0,5,15411.7937,0
1974,False,2,1,0,0,3,3,False,4,4,30979.2337,3
1973,False,3,0,0,0,3,3,False,4,3,29193.646,2
1973,False,3,1,0,0,3,3,False,4,3,38036.5283,2
1974,False,3,0,0,0,3,3,False,4,3,29300.0538,2
1974,True,3,1,0,0,1,4,True,4,2,30662.8233,0
1974,True,4,1,5,5,0,3,True,4,5,18167.934,2
1973,True,3,0,0,0,3,3,True,4,3,28084.3518,2
1973,True,3,0,0,1,1,4,True,4,2,21458.5963,0
1972,False,3,0,0,0,3,3,False,4,3,29261.7595,2
1972,False,3,1,0,0,3,3,False,4,3,38067.8234,2
1972,False,3,1,0,0,3,3,False,4,3,37997.2908,2
1972,True,4,0,0,2,1,4,True,4,4,29974.4264,0
1972,True,4,0,0,2,1,4,False,4,4,24892.3384,0
1971,True,3,1,0,0,3,3,True,4,4,36576.3752,2
1971,True,3,1,0,0,3,3,False,4,4,30418.1638,2
1971,True,4,1,0,0,0,4,True,4,4,40806.2059,0
1969,True,4,1,1,1,4,4,True,0,4,19153.5778,0
1973,False,0,1,0,0,0,0,False,1,2,2569.695,1
1973,False,0,1,0,0,0,0,False,0,2,2346.0939,1
1963,False,2,1,3,2,3,3,True,3,2,20745.2373,3
1980,False,0,1,0,0,0,0,True,1,2,3070.4971,1
1973,False,1,1,0,0,1,0,False,1,1,6815.3571,1
1971,False,0,0,0,0,0,0,True,1,2,2344.1025,1
1971,False,0,0,0,0,0,0,False,1,2,2022.8112,1
1971,False,0,1,0,0,0,0,True,1,3,3165.4257,1
1971,False,0,0,0,0,0,0,False,1,2,2017.0639,1
1971,False,0,1,0,0,0,0,False,0,2,2415.9574,1
1971,True,0,1,0,0,0,0,False,0,2,1876.7909,1
1971,False,1,1,0,0,1,0,False,2,1,8052.9424,1
1970,False,1,1,2,2,2,1,True,0,2,4733.572,1
1970,False,1,0,2,2,2,1,True,1,3,3984.1733,1
1974,False,1,1,3,3,2,1,True,1,2,4905.2554,1
1974,False,1,1,3,3,2,1,True,1,2,4852.002,1
1975,False,1,0,3,3,2,1,True,1,2,3719.3013,1
1931,True,1,0,1,0,3,2,True,0,1,5650.4762,1
1953,True,1,0,1,0,3,2,True,3,1,10171.9649,1
1953,True,1,1,1,0,3,2,True,2,1,9494.3809,1
1954,True,1,0,1,0,1,1,True,2,1,3988.3332,1
1954,True,1,0,1,0,2,1,True,0,1,3446.7588,1
1955,True,1,1,1,0,2,1,True,0,1,4492.6818,1
1956,True,1,0,1,0,2,1,True,1,1,3816.0895,1
1956,True,1,0,1,0,2,1,True,0,1,3425.0315,1
1957,True,1,0,1,0,2,1,True,1,1,3824.4335,1
1957,True,1,1,1,0,2,1,True,1,1,4978.8069,1
1957,True,1,0,1,0,2,1,True,1,1,3817.3241,1
1967,False,0,1,3,3,1,0,True,0,1,1786.3672,1
1967,True,0,0,1,1,2,0,True,2,1,2013.9232,1
1967,False,1,0,1,1,3,1,False,1,1,4516.4745,1
1966,True,1,1,1,1,3,1,True,2,1,6732.9833,1
1966,True,1,0,1,1,3,2,True,0,2,5164.3338,1
1966,True,1,1,1,1,3,2,True,0,2,6585.0293,1
1966,True,1,1,1,1,3,2,True,0,2,6618.2643,1
1965,False,0,0,2,2,1,0,True,0,1,1491.4513,1
1965,False,0,1,2,2,1,0,True,0,2,1981.305,1
1965,True,1,1,1,1,3,2,True,0,2,6655.197,1
1964,False,0,0,3,2,0,0,True,0,3,1327.8106,1
1964,False,1,1,2,2,2,1,True,0,2,4727.3171,1
1964,True,1,0,2,2,2,1,False,0,2,2449.7226,1
1963,False,1,0,2,2,2,1,True,0,2,3573.3881,1
1978,False,0,1,0,0,1,0,False,2,1,3195.4648,1
1977,False,0,1,0,0,1,0,True,2,1,3840.5055,1
1979,False,0,1,4,4,1,0,True,0,3,1760.9112,1
1979,False,0,1,5,5,1,0,True,0,3,1603.5622,1
1978,False,1,0,3,3,2,1,True,0,3,3356.5533,1
1978,False,1,0,3,3,2,1,True,0,3,3418.7608,1
1977,False,0,0,0,0,1,0,False,1,1,2132.5382,1
1975,False,0,0,0,0,0,0,False,0,2,1739.6694,1
1975,False,0,1,0,0,1,0,True,2,1,3815.3379,1
1976,False,0,1,0,0,1,0,False,3,1,4467.5506,1
1976,False,1,1,0,0,2,1,False,0,1,5925.6757,1
1974,True,0,1,0,0,0,0,False,2,1,2457.8962,1
1971,False,1,1,4,4,1,2,True,4,3,9361.9704,1
1970,True,1,0,1,1,3,2,True,2,1,6736.1207,1
1970,True,1,0,1,1,3,2,True,2,1,6630.5053,1
1967,True,2,1,2,2,3,2,True,2,1,11044.8056,3
1966,False,2,0,3,3,3,2,True,0,1,7656.1142,3
1969,True,2,0,5,5,4,3,True,0,2,5386.7133,3
1969,True,2,0,5,5,4,3,True,2,2,6862.0747,3
1969,True,2,0,5,5,4,3,False,0,2,4436.8866,3
1965,False,1,1,0,0,3,3,False,2,1,14299.3095,1
1965,False,1,1,0,0,3,3,False,2,1,14379.3544,1
1965,True,3,1,3,3,3,2,True,2,2,12723.3155,2
1964,True,1,1,4,4,3,2,True,4,4,10683.4358,1
1964,True,1,1,5,5,3,2,True,3,3,8926.26,1
1964,False,1,0,5,5,3,2,True,3,3,8522.9363,1
1963,False,2,1,4,2,3,2,False,0,2,7807.3136,3
1963,True,2,1,4,2,3,3,True,2,2,11143.7389,3
1968,False,2,0,0,0,3,3,False,0,1,11839.3519,3
1963,True,2,1,4,2,3,3,True,2,2,11143.0167,3
1963,False,2,0,4,2,3,3,True,0,3,8246.5252,3
1963,False,2,0,4,2,3,3,True,2,3,10815.7594,3
1962,True,1,0,3,2,1,2,True,2,2,3999.0526,1
1962,True,2,0,1,0,2,2,True,2,1,8244.0916,3
1962,True,2,0,1,0,2,2,True,2,1,8236.0869,3
1961,False,1,1,4,2,1,2,True,2,2,6124.4822,1
1961,True,2,0,1,0,2,2,True,0,1,6292.4543,3
1960,True,1,1,4,2,1,2,True,2,2,4845.2378,1
1960,True,1,0,4,2,1,2,True,2,2,3775.5671,1
1960,True,1,0,4,2,1,2,True,0,2,2863.4046,1
1967,False,2,1,0,0,2,2,False,2,1,13969.7722,3
1967,False,2,1,0,0,2,2,False,0,1,10797.1558,3
1967,False,2,1,0,0,2,2,False,2,1,13967.3238,3
1960,True,2,1,1,0,2,2,True,2,1,10615.4177,3
1959,True,2,0,1,0,2,2,True,2,1,8226.6898,3
1959,True,2,1,1,0,2,2,False,0,1,6822.7257,3
1959,True,2,0,5,5,4,3,False,4,3,8905.7617,3
1958,True,2,0,1,0,3,3,True,2,1,11823.1101,3
1969,True,3,1,4,4,4,4,False,0,1,9176.4865,0
1970,True,3,0,4,4,4,4,True,0,1,8463.5731,0
1970,True,3,0,4,4,4,4,True,0,1,8428.6333,0
1968,True,2,1,5,5,3,3,True,4,3,16006.3912,3
1968,True,2,1,5,5,3,3,True,4,3,15973.4849,3
1967,True,2,0,5,5,3,3,True,4,4,12290.8494,3
1967,False,2,1,5,5,3,3,True,4,4,19931.6599,3
1967,True,2,1,5,5,3,3,True,4,4,15938.5855,3
1967,True,3,1,5,5,4,4,True,0,2,10288.473,0
1967,False,3,0,5,5,4,4,True,0,3,9855.2153,0
1966,True,3,1,5,5,3,3,True,0,3,9881.2102,2
1969,True,1,1,1,1,3,2,True,2,1,8630.7197,1
1967,False,1,1,0,0,3,3,False,2,1,14297.8586,1
1967,False,1,0,0,0,3,3,True,2,1,13331.5098,1
1967,True,1,0,0,0,3,3,False,0,1,6842.586,1
1969,True,2,0,5,5,4,3,True,0,2,5333.3698,3
1965,False,1,0,0,0,3,3,False,2,1,11058.6193,1
1965,False,3,1,3,3,3,2,True,2,2,15914.2776,1
1965,True,3,1,3,3,3,2,True,0,2,9856.4862,0
1965,False,3,0,3,3,3,2,True,2,2,12263.6584,2
1965,False,3,1,3,3,3,2,False,0,2,10266.7759,1
1965,True,2,1,0,0,4,3,True,2,1,16744.2063,3
1964,True,1,1,0,0,3,3,False,0,1,8839.4726,1
1964,False,1,1,4,4,3,2,True,4,3,13309.6906,1
1964,False,1,0,4,4,3,2,False,4,3,8493.7891,1
1964,False,1,0,4,4,3,2,True,4,3,10291.4001,1
1964,False,1,0,4,2,3,2,False,0,3,4260.7837,1
1964,True,1,1,4,2,3,2,True,2,2,6902.5197,1
1964,False,1,0,4,2,3,2,True,2,2,6664.1353,1
1963,False,2,0,4,2,3,3,True,2,2,10658.9481,3
1968,False,2,0,0,0,3,3,True,2,1,18552.7396,3
1963,True,2,1,4,2,3,3,True,2,4,11197.8006,3
1962,True,1,1,3,2,1,2,True,2,2,5216.3457,1
1962,True,2,0,1,0,2,2,True,2,1,8192.0065,3
1962,True,2,0,1,0,2,2,True,0,1,6285.3066,3
1961,False,1,0,4,2,1,2,True,2,2,4649.6528,1
1961,True,2,0,1,0,2,2,True,2,1,8111.208,3
1961,True,2,1,1,0,2,2,False,0,1,6778.492,3
1960,True,1,1,4,2,1,2,True,2,2,4799.2551,1
1967,True,2,1,0,0,4,3,False,0,1,10662.2003,3
1967,False,2,1,0,0,3,3,False,2,1,20137.0679,3
1960,True,2,0,1,0,2,2,True,2,1,8121.4437,3
1959,True,2,0,1,0,2,2,True,0,1,6319.3429,3
1959,True,2,0,5,5,4,3,True,4,3,10667.9282,3
1958,True,2,1,1,0,3,3,True,2,1,15410.3248,3
1958,True,2,1,1,0,3,3,True,0,1,11826.2081,3
1958,False,2,1,1,0,3,3,True,2,1,19216.8282,3
1968,False,2,1,2,2,3,3,False,0,1,10273.2198,3
1968,False,2,0,2,2,3,3,False,0,1,7918.3233,3
1967,True,2,1,5,5,3,3,True,4,3,15927.8436,3
1969,False,4,0,1,0,4,4,True,2,1,26303.5608,0
1967,True,3,0,5,5,4,4,True,0,3,7836.032,0
1967,False,3,0,5,5,4,4,True,0,3,9842.1545,0
1966,True,3,0,5,5,4,4,False,0,3,6566.0418,0
1966,True,3,0,5,5,4,4,True,0,3,7785.1869,0
1966,True,3,0,5,5,4,4,True,0,3,7882.5619,0
1965,False,2,1,0,0,3,3,False,3,1,27874.0458,3
1965,False,2,1,0,0,3,3,True,3,1,33439.1881,3
1964,True,2,0,3,3,3,3,True,3,2,12729.5879,3
1964,True,2,1,4,4,3,3,True,3,2,15508.5015,3
1964,False,2,0,4,4,3,3,True,4,3,16571.7074,3
1968,False,3,1,4,4,2,2,False,0,3,7569.4983,1
1978,False,1,0,0,0,2,2,True,3,1,12742.1386,1
1946,False,1,0,2,0,2,1,True,3,2,7098.6108,1
1947,True,0,0,4,0,1,2,False,1,2,1132.1434,1
1978,False,2,1,0,0,2,2,True,3,2,23228.2525,3
1978,True,2,0,0,0,2,2,False,0,2,6600.1401,3
1977,False,1,1,0,0,0,1,False,1,2,5397.532,1
1977,False,1,1,0,0,0,1,True,3,2,10631.696,1
1977,True,1,1,0,0,2,2,False,1,2,6742.8801,1
